qid,policy,representation,packer,em,f1,ans_in_context,ans_in_context_soft,gold_token_density,gold_doc_reader_cov,context_tokens,base_recall@5,base_all_gold@5
ad193b1808b411ebbd88ac1f6bf848b6,chunk_packed_96,chunk,packed,1.0,1.0,1.0,1.0,0.5158,0.5,95.0,0.5,0.0
5b168cd8089811ebbd77ac1f6bf848b6,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.0,0.4098,0.5,61.0,1.0,1.0
b23a2b360baf11ebab90acde48001122,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.0,0.4574,0.5,94.0,1.0,1.0
c5ffa16a0bdb11eba7f7acde48001122,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.0,0.4937,0.5,79.0,0.5,0.0
eb3ff1900baf11ebab90acde48001122,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.6,0.4353,0.5,85.0,1.0,1.0
59a16ade0baf11ebab90acde48001122,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.5,0.0
5c9ef1d80bdd11eba7f7acde48001122,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.5,0.0
a537c442086d11ebbd62ac1f6bf848b6,chunk_packed_96,chunk,packed,1.0,1.0,1.0,1.0,0.4588,0.25,85.0,0.5,0.0
01588f7208be11ebbd8aac1f6bf848b6,chunk_packed_96,chunk,packed,1.0,1.0,1.0,1.0,0.8387,0.5,93.0,0.5,0.0
6b55ac320bdb11eba7f7acde48001122,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.0,0.6977,0.5,86.0,1.0,1.0
fde95590089c11ebbd78ac1f6bf848b6,chunk_packed_96,chunk,packed,1.0,1.0,0.0,0.0,0.5679,0.5,81.0,1.0,1.0
1f8a41b60bde11eba7f7acde48001122,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.0,0.3678,0.5,87.0,1.0,1.0
50008e080bda11eba7f7acde48001122,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.5,0.0
9f62be2008ac11ebbd83ac1f6bf848b6,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.0,0.0,0.0,95.0,1.0,1.0
6bb800f00bde11eba7f7acde48001122,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.0,0.0,0.0,93.0,1.0,1.0
1822cbb4089111ebbd72ac1f6bf848b6,chunk_packed_96,chunk,packed,1.0,1.0,1.0,1.0,0.8158,0.5,76.0,0.5,0.0
87154f1e0bda11eba7f7acde48001122,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.0,0.3797,0.5,79.0,0.5,0.0
709430f20bda11eba7f7acde48001122,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.0,0.4421,1.0,95.0,1.0,1.0
1aecfdf608a011ebbd78ac1f6bf848b6,chunk_packed_96,chunk,packed,1.0,1.0,0.0,0.6667,1.0,1.0,80.0,1.0,1.0
03d68971096e11ebbdb0ac1f6bf848b6,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.0,0.3763,0.5,93.0,1.0,1.0
8a6eec600bda11eba7f7acde48001122,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.0,0.6067,0.5,89.0,1.0,1.0
3497795008bb11ebbd88ac1f6bf848b6,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.3333,0.2619,0.25,84.0,0.5,0.0
305e54500bde11eba7f7acde48001122,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.0,0.6522,0.5,69.0,0.5,0.0
6aa8edb5086411ebbd5eac1f6bf848b6,chunk_packed_96,chunk,packed,1.0,1.0,1.0,1.0,0.5978,0.5,92.0,1.0,1.0
