qid,policy,representation,packer,em,f1,ans_in_context,gold_token_density,gold_doc_reader_cov,context_tokens,base_recall@5,base_all_gold@5
2hop__460946_294723,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,151.0,0.0,0.0
2hop__252311_366220,chunk_packed_160,chunk,packed,0.0,0.8,1.0,0.2642,0.5,159.0,0.0,0.0
2hop__701895_752697,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.4745,0.5,137.0,0.5,0.0
2hop__259228_793698,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,139.0,0.0,0.0
2hop__481349_302087,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,154.0,0.5,0.0
2hop__697790_864352,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,151.0,0.5,0.0
2hop__207476_625987,chunk_packed_160,chunk,packed,0.0,0.5,0.0,0.0,0.0,144.0,0.5,0.0
2hop__390947_232243,chunk_packed_160,chunk,packed,0.0,0.8,1.0,0.36,1.0,150.0,1.0,1.0
2hop__354635_174222,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,157.0,0.5,0.0
2hop__635187_861533,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3497,0.5,143.0,0.5,0.0
2hop__166824_185403,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,153.0,0.5,0.0
2hop__698577_851686,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,153.0,0.5,0.0
2hop__362107_652514,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.281,0.5,153.0,1.0,1.0
2hop__402530_774333,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1346,0.5,156.0,0.5,0.0
2hop__195917_575657,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,158.0,0.5,0.0
2hop__683835_709167,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2532,0.5,158.0,0.5,0.0
2hop__197470_271394,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,157.0,1.0,1.0
2hop__458131_174974,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,149.0,0.5,0.0
2hop__299142_347613,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1783,0.5,157.0,0.5,0.0
2hop__528263_865831,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1562,0.5,160.0,0.5,0.0
2hop__569582_304416,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,160.0,1.0,1.0
2hop__505860_650613,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,159.0,0.5,0.0
2hop__821197_368148,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2039,0.5,152.0,1.0,1.0
2hop__554167_451128,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2733,0.5,150.0,0.5,0.0
2hop__702496_430061,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,156.0,0.5,0.0
2hop__549146_223121,chunk_packed_160,chunk,packed,0.0,0.4,0.0,0.2282,0.5,149.0,0.0,0.0
2hop__647996_551681,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,158.0,0.5,0.0
2hop__673655_316668,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2078,0.5,154.0,0.5,0.0
2hop__574419_270105,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1076,0.5,158.0,0.5,0.0
2hop__403712_793210,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0828,0.5,157.0,1.0,1.0
2hop__832795_350510,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1847,0.5,157.0,0.5,0.0
2hop__744055_408817,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.2949,1.0,156.0,1.0,1.0
2hop__726717_610238,chunk_packed_160,chunk,packed,0.0,0.4444,0.0,0.2129,0.5,155.0,1.0,1.0
2hop__499577_617190,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3161,0.5,155.0,1.0,1.0
2hop__685280_510757,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,157.0,0.5,0.0
2hop__341305_332933,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2941,0.5,153.0,0.5,0.0
2hop__731228_609866,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1711,0.5,152.0,0.5,0.0
2hop__693444_220151,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,159.0,0.5,0.0
2hop__235471_565925,chunk_packed_160,chunk,packed,0.0,0.5,0.0,0.2152,0.5,158.0,0.5,0.0
2hop__310456_846599,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,132.0,0.5,0.0
2hop__335418_279684,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1513,0.5,152.0,1.0,1.0
2hop__191125_781346,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1364,0.5,154.0,0.5,0.0
2hop__475070_532404,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.6076,1.0,158.0,1.0,1.0
2hop__700093_455653,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.3179,0.5,151.0,0.5,0.0
2hop__512773_346751,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.4079,0.5,152.0,0.5,0.0
2hop__411091_625230,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,154.0,0.5,0.0
2hop__423972_540249,chunk_packed_160,chunk,packed,0.0,0.6667,0.0,0.2368,0.5,152.0,1.0,1.0
2hop__455158_247871,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1656,0.5,157.0,1.0,1.0
2hop__189094_612080,chunk_packed_160,chunk,packed,0.0,0.5,0.0,0.1667,0.5,150.0,0.5,0.0
2hop__765678_310556,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2215,0.5,158.0,0.5,0.0
2hop__304852_758385,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.172,0.5,157.0,0.5,0.0
2hop__628752_538661,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.325,0.5,160.0,0.5,0.0
2hop__661847_288421,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2653,0.5,147.0,0.5,0.0
2hop__496732_658428,chunk_packed_160,chunk,packed,0.0,0.5,0.0,0.1818,0.5,143.0,0.5,0.0
2hop__175175_347233,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1678,0.5,149.0,0.5,0.0
2hop__496961_554601,chunk_packed_160,chunk,packed,0.0,0.4,1.0,0.1645,0.5,152.0,1.0,1.0
2hop__274110_413723,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,157.0,0.0,0.0
