qid,question,rule_policy,oracle_policy,chunk_confidence,bm25_confidence,hybrid_confidence,ace_confidence,ace_chunk_doc_jaccard,chunk_packed_220_tokens,chunk_packed_220_doc_count,chunk_packed_220_em,chunk_packed_220_f1,ace_packed_220_tokens,ace_packed_220_doc_count,ace_packed_220_em,ace_packed_220_f1,ace_focused_220_tokens,ace_focused_220_doc_count,ace_focused_220_em,ace_focused_220_f1
5add1d575542992c1e3a2540,What nationality was Oliver Reed's character in the film Royal Flash?,ace_packed_220,ace_focused_220,0.3230975452455337,0.33954454413533536,0.3410920708744384,0.38807537135833703,1.0,219,5,0.0,0.0,212,5,0.0,0.0,196,5,0.0,0.0
5ac55ea55542993e66e82377,Pacific Mozart Ensemble performed which German composer's Der Lindberghflug in 2002?,ace_packed_220,ace_focused_220,0.19278865510339976,0.270294748558966,0.26035720836810466,0.332606912445509,0.42857142857142855,214,5,0.0,0.0,211,4,0.0,0.8,210,4,0.0,0.8
5ac3a76e554299741d48a2be,"Who released the song ""With or Without You"" first, Jai McDowall or U2?",ace_packed_220,ace_packed_220,0.3280707242303187,0.34921268470416233,0.321995985600213,0.41184022125357755,0.6666666666666666,210,4,1.0,1.0,209,5,1.0,1.0,218,5,1.0,1.0
5a7133565542994082a3e65c,"What Kentucky county has a population of 60,316 and features the Lake Louisvilla neighborhood?",ace_packed_220,ace_packed_220,0.28611835614407954,0.29986143420423805,0.29673036938490893,0.32015907109715414,0.42857142857142855,220,5,0.0,0.6666666666666666,220,5,1.0,1.0,219,4,0.0,0.6666666666666666
5ac1a4745542991316484b82,"Para Hills West, South Australia lies within a city with what estimated population?",ace_packed_220,chunk_packed_220,0.34859710671714256,0.3545075886325295,0.3661563424240364,0.43011332025620785,0.25,203,5,1.0,1.0,201,5,0.0,0.0,201,5,0.0,0.0
5adc597d55429947ff17392f,"In what year was the narrator of ""Blackadder's Christmas Carol"" born?",ace_packed_220,ace_focused_220,0.32424016997040656,0.33905140934383976,0.33841032072609734,0.3587673192777201,0.42857142857142855,210,4,0.0,0.0,220,4,0.0,0.0,203,4,0.0,0.0
5ac55e835542993e66e82375,"Thomas Fitch defended John Henry Holliday when he was accused of killing men during the gunfight at the o.k. corral, when was that?",chunk_packed_220,ace_focused_220,0.34380422987463594,0.32430998358416296,0.3174948368576852,0.3544240083420475,0.42857142857142855,210,4,0.0,0.6666666666666666,219,5,0.0,0.6666666666666666,209,4,1.0,1.0
5a8d9e0f554299441c6ba015,The actor that played Gutthi on Comedy nights with Kapil Show also starred in what 2016 Punjabi film directed by Smeep Kang?,chunk_packed_220,ace_packed_220,0.25996814566032556,0.2666730074811966,0.2649804635256092,0.26854660405781716,1.0,218,5,0.0,0.0,207,4,0.0,0.0,219,4,0.0,0.0
5ae70ed7554299572ea546a1,"Victor Varnada directed Twisted Fortune, which starred which brother of Eddie Murphy?",ace_packed_220,ace_packed_220,0.25844333280732834,0.24108076918960109,0.2524700005705878,0.3140574363456698,1.0,212,4,0.0,0.0,206,5,1.0,1.0,220,4,1.0,1.0
5a74a8fa55429929fddd8497,"After his curacy at the village that is a suburb of Scunthorpe, who was Industrial Chaplain to the Bishop of Lincoln?",ace_packed_220,chunk_packed_220,0.2575575104266872,0.263099106153007,0.2566350823903021,0.3109521060414885,0.42857142857142855,204,4,0.0,0.0,219,4,0.0,0.0,208,4,0.0,0.0
