qid,question,rule_policy,oracle_policy,chunk_confidence,bm25_confidence,hybrid_confidence,ace_confidence,ace_chunk_doc_jaccard,chunk_packed_280_tokens,chunk_packed_280_doc_count,chunk_packed_280_em,chunk_packed_280_f1,bm25_packed_280_tokens,bm25_packed_280_doc_count,bm25_packed_280_em,bm25_packed_280_f1,hybrid_packed_280_tokens,hybrid_packed_280_doc_count,hybrid_packed_280_em,hybrid_packed_280_f1,ace_packed_280_tokens,ace_packed_280_doc_count,ace_packed_280_em,ace_packed_280_f1,ace_focused_220_tokens,ace_focused_220_doc_count,ace_focused_220_em,ace_focused_220_f1
5aba926f55429901930fa83e,Which Formula One World Champion had a teammate named Richie Ginther?,ace_focused_220,ace_focused_220,0.28175769538274975,0.24910480179824274,0.27839116698212596,0.35937371349989855,0.6666666666666666,255,4,0.0,0.0,274,5,0.0,0.0,261,4,0.0,0.0,280,5,0.0,0.0,193,5,0.0,0.0
5ae1fced5542997283cd230e,"Which writer won the Nobel Prize, William H. Gass or Naguib Mahfouz?",chunk_packed_280,ace_focused_220,0.31184845954727936,0.28066743464591387,0.27904854283029357,0.32691031136091775,1.0,260,5,1.0,1.0,275,5,1.0,1.0,275,5,1.0,1.0,280,5,1.0,1.0,205,4,1.0,1.0
5a890b895542995153361278,The first person to reach both poles named a glacier after which person? ,ace_focused_220,ace_focused_220,0.274273364023577,0.3076918456228461,0.278803079622701,0.31954063187048376,0.6666666666666666,274,5,0.0,0.6666666666666666,278,4,0.0,0.0,270,5,0.0,0.0,279,5,0.0,0.0,217,5,0.0,0.6666666666666666
5a90b2175542990a984936ae,"Which tennis player is South African, Mariaan de Swardt or Kateryna Bondarenko?",ace_focused_220,ace_focused_220,0.2979732395840643,0.30037421630108896,0.3076923226224654,0.34397151772276724,1.0,244,5,1.0,1.0,244,5,1.0,1.0,244,5,1.0,1.0,254,6,1.0,1.0,201,6,1.0,1.0
5a881cbb55429938390d3ee7,St. John of the Cross Episcopal Church has a rectory that was in a style that was a product of what earlier style?,chunk_packed_280,ace_focused_220,0.3644031458324427,0.36876920380746075,0.3739269343631489,0.38188473248661986,0.42857142857142855,276,5,0.0,0.0,279,5,0.0,0.0,279,5,0.0,0.0,269,5,0.0,0.0,217,4,0.0,0.0
5a764c0b55429976ec32bd89,What criteria subjectively qualifies the Houston Astrodome to be called the Eighth Wonder of the World?,chunk_packed_280,ace_packed_280,0.33524413365045846,0.36172079874639496,0.34858497638919944,0.33649771415382135,0.6666666666666666,275,5,0.0,0.16666666666666666,269,5,0.0,0.16666666666666666,269,5,0.0,0.16666666666666666,243,5,0.0,0.42857142857142855,199,4,0.0,0.0
5ac2da27554299657fa2909f,Which town was home to a forward for the Western New York Flash? ,ace_focused_220,ace_focused_220,0.31097659381088816,0.31128121460860025,0.31311137023531965,0.39267886704248517,0.6666666666666666,251,4,0.0,0.0,251,4,0.0,0.0,251,4,0.0,0.0,274,4,0.0,0.0,208,4,0.0,0.0
5ac26ac15542992f1f2b38bc,Who is the film dedicated to that Paramount Classics and MTV Films co-purchased the rights to?,ace_focused_220,ace_focused_220,0.2583694928867781,0.29780670845114354,0.2678988175008775,0.34846086798396836,0.42857142857142855,278,5,0.0,0.0,277,5,0.0,0.0,273,5,0.0,0.0,261,5,0.0,0.0,217,3,0.0,0.0
5a8a521d5542992d82986f15,For which team does Mads Bødker player that is controlled by Danmarks Ishockey Union?,ace_focused_220,ace_focused_220,0.29429180437532104,0.2962611913576926,0.2978063619944723,0.4001473421665871,1.0,265,5,0.0,0.0,265,5,0.0,0.0,265,5,0.0,0.0,280,5,0.0,0.0,186,5,0.0,0.0
5ae650fb55429929b0807b2e,Christopher Oscar Pena was recognized by an entertainment-industry brand aimed at what?,chunk_packed_280,hybrid_packed_280,0.27761630507680823,0.279511027158594,0.280170763736462,0.27313098260734675,0.6666666666666666,277,5,0.0,0.7272727272727273,264,5,0.0,0.0,258,5,0.0,0.7272727272727273,272,5,0.0,0.7272727272727273,219,4,0.0,0.0
5a8bc1b85542997f31a41db8,Which one between Milium and Eucommia lives more widely spread across the world?,chunk_packed_280,ace_focused_220,0.22334365130267098,0.22477716485171761,0.230837177164499,0.2203276556652486,0.6666666666666666,277,5,0.0,0.0,266,4,0.0,0.0,279,5,0.0,0.0,251,5,0.0,0.0,199,5,0.0,0.0
5ab209ec554299722f9b4ca2,What video game character did the voice actress in the animated film Alpha and Omega voice?,ace_focused_220,ace_focused_220,0.2931693286327427,0.31901986566982965,0.29852704772931404,0.32465994339294546,1.0,251,4,0.0,0.0,279,5,0.0,0.0,251,4,0.0,0.0,252,4,0.0,0.0,210,4,0.0,0.0
5a8bb90f5542996e8ac88a02,"What Canadian actor starred in a film released on June 14th,2011?",ace_focused_220,hybrid_packed_280,0.22648587241968485,0.2203837136817959,0.22537291938664297,0.30089198770675535,0.1111111111111111,272,5,0.0,0.0,267,5,0.0,0.0,258,5,0.0,0.5,278,5,0.0,0.0,179,4,0.0,0.0
5ac31b0a554299741d48a1f0,"Who directed the film to which "" A Perfect Murder"" was a modern remake? ",chunk_packed_280,ace_focused_220,0.3230435919278479,0.3244079973188112,0.34864704068621366,0.346279799051444,1.0,271,5,0.0,0.0,280,5,0.0,0.0,280,5,0.0,0.0,271,5,0.0,0.0,218,5,0.0,0.0
5adf3e355542993a75d26440,"How long is the bridge in the Öresund Region that connect Copenhagen, Denmark and Malmo, Sweden?",chunk_packed_280,bm25_packed_280,0.2697977955591555,0.2704935720055158,0.2670250581122985,0.2973366708289126,0.6666666666666666,266,5,0.0,0.0,278,5,1.0,1.0,266,5,0.0,0.0,261,5,0.0,0.0,210,4,0.0,0.0
5abd245555429924427fcf0f,"Under which ring name does the wrestler who participated in a taser match with Bam Bam Bigelow, associate himself with in the World Wrestling Federation?",chunk_packed_280,ace_focused_220,0.2786628215392486,0.26329335450023356,0.2637886489377639,0.2865406607406161,0.6666666666666666,254,5,1.0,1.0,279,5,0.0,0.0,266,5,1.0,1.0,279,5,0.0,0.0,214,4,1.0,1.0
5a84b5975542991dd0999da3,In what ecclesiastical province is Stephen Conway currently part of?,ace_focused_220,chunk_packed_280,0.28083790798807434,0.29155711785959004,0.30429169218343854,0.3386935246441869,0.42857142857142855,271,5,1.0,1.0,278,4,0.0,0.0,278,4,0.0,0.0,267,5,0.0,0.0,220,5,0.0,0.8571428571428571
5a8ba3ff55429971feec4744,Stokely Webster has paintings can be found at the official residence of whom?,chunk_packed_280,ace_focused_220,0.2980553866248066,0.31994179810654133,0.31566014465013303,0.2917940363437757,1.0,265,5,0.0,0.0,261,5,0.0,0.0,261,5,0.0,0.0,274,5,0.0,0.0,190,4,0.0,0.0
5a8303c255429954d2e2ec01,The Plymouth fury produced from 1955 to 1989  was replaced by what for police and fleet applications?,ace_focused_220,ace_focused_220,0.26878346407695386,0.2675696267698264,0.2837552092642477,0.3858275943457506,0.42857142857142855,261,5,0.0,0.0,279,5,0.0,0.0,279,5,0.0,0.0,269,5,0.0,0.0,217,4,0.0,0.0
5a7b374c5542995eb53be8cc,Which city was the man who is known for a science humor story based on the tongue-in-cheek combination of two adages born in?,hybrid_packed_280,ace_focused_220,0.34342985487138383,0.42404383392743406,0.3930766612056379,0.3474682975597049,0.6666666666666666,277,5,0.0,0.7499999999999999,279,5,0.0,0.7499999999999999,274,5,0.0,0.7499999999999999,262,5,0.0,0.7499999999999999,217,5,0.0,0.7499999999999999
5a7b63eb55429931da12ca7e,What city does Paul Clyne and David Soares have in common?,ace_focused_220,ace_focused_220,0.23691454932862824,0.2498779439879787,0.2625181791923431,0.2792105263267216,0.25,268,5,0.0,0.0,279,4,0.0,0.0,267,5,0.0,0.0,268,5,0.0,0.0,187,4,0.0,0.0
5a90492655429933b8a204d8,Garth Richardson is the son of the producer who worked for which group that evolved from The Iveys?,chunk_packed_280,ace_focused_220,0.2484442862648661,0.2656855943625787,0.2647954384189344,0.27104806456138264,0.42857142857142855,262,5,1.0,1.0,264,4,1.0,1.0,270,5,1.0,1.0,276,5,1.0,1.0,220,4,1.0,1.0
5a8a502b5542996c9b8d5ea6,Who wrote the lyrics to the theme song that was used by the Western film series Range Busters?,chunk_packed_280,chunk_packed_280,0.3109227614614972,0.312492627479554,0.32481588189365485,0.2900360614615918,0.6666666666666666,224,5,0.0,0.8571428571428571,267,5,0.0,0.0,263,5,0.0,0.4,220,5,0.0,0.6666666666666666,209,5,0.0,0.4
5ae5a4e5554299546bf82f01,"Which writer of ""Rewrite This Story"" are an American songwriting duo and composing team for musical theater, films, and television?",ace_focused_220,ace_focused_220,0.31318705426195176,0.3247062322734885,0.30317289939392267,0.4159360956156948,0.6666666666666666,278,5,0.0,0.7499999999999999,278,5,0.0,0.7499999999999999,278,5,0.0,0.7499999999999999,276,5,0.0,0.7499999999999999,206,5,0.0,0.7499999999999999
5a78e3b955429974737f78f1,"Who was born first, Javier Frana or Sherwood Stewart?",chunk_packed_280,chunk_packed_280,0.30738030517179915,0.3058562376805821,0.29605142477314694,0.3084602064140996,0.6666666666666666,197,5,1.0,1.0,208,5,1.0,1.0,203,5,1.0,1.0,238,5,1.0,1.0,210,5,1.0,1.0
5a85cd295542997175ce202b,Who was the military commander of the last active ruler of the Ptolemaic Kingdom of Egypt?,ace_focused_220,ace_focused_220,0.2914071603833675,0.29933816217670833,0.30918306421713027,0.3222038962395069,1.0,273,5,0.0,0.0,262,5,0.0,0.0,273,5,0.0,0.0,259,5,0.0,0.0,202,4,0.0,0.0
5add6cf45542992ae4cec55f,What is the current occupation of the footballer replaced by Zdenek Zeman at the beginning of the 2012-13 A. S. Roma season?  ,chunk_packed_280,ace_focused_220,0.31236098895045084,0.31527863745229334,0.32010470457178297,0.3350696520714344,0.42857142857142855,279,4,0.0,0.0,279,4,0.0,0.0,279,4,0.0,0.0,267,5,0.0,0.0,212,4,0.0,0.0
5a86fde6554299211dda2b7f, Pramod Bhasin was the former CEO of a company that provided what kind of services?,chunk_packed_280,ace_focused_220,0.28014366758913034,0.2704235823010533,0.2887048095681135,0.258378270208077,0.25,280,5,0.0,0.0,271,5,0.0,0.0,271,5,0.0,0.0,264,5,0.0,0.0,193,5,0.0,0.0
5a8198565542995ce29dcc13,Are Ranger Rick and Tennis both sports magazines?,ace_packed_280,ace_focused_220,0.27170615943304804,0.29303370964583125,0.2942574165803617,0.32932707324353283,0.42857142857142855,250,5,0.0,0.0,270,5,0.0,0.0,274,5,1.0,1.0,264,5,1.0,1.0,220,4,1.0,1.0
5a79332555429907847277e7,"Who died first, Bryce Courtenay or Juan Carlos Onetti?",ace_focused_220,ace_focused_220,0.3090269119134468,0.3277046278166675,0.30740482449905926,0.37058291310826846,0.6666666666666666,261,5,1.0,1.0,259,5,1.0,1.0,273,5,1.0,1.0,280,5,1.0,1.0,197,5,1.0,1.0
5ac31602554299741d48a1bf,"Which of the actress starred in  Zombie Night appeared in the 1998 erotic thriller ""Wild Things""?",ace_focused_220,ace_packed_280,0.3112866606471944,0.296125748555249,0.2977341609812596,0.45639943808810723,1.0,256,5,1.0,1.0,270,5,1.0,1.0,256,5,1.0,1.0,245,5,1.0,1.0,201,5,0.0,0.0
5ae4a2e25542996836b02cee,"The county that the community of Milltown, Montana is part of was founded in which year?",ace_focused_220,ace_focused_220,0.30757263472425656,0.3019779935835251,0.3098455934941311,0.3694188587215217,0.6666666666666666,260,5,0.0,0.0,265,5,0.0,0.0,260,5,0.0,0.0,279,5,1.0,1.0,219,4,1.0,1.0
